KEY_ID,KEY_NAME,KEY_DESCRIPTION,KEY_DIFFICULTY,KEY_CATEGORY,KEY_LENGTH,KEY_GOAL1,KEY_GOAL2,KEY_GOAL3,KEY_IMAGE
,בטן אלכסונים 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות באלכסון לרגל נגדית . שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 15 חזרות, 2 סטים לכל צד.",קל מאוד,בטן,5,1,1,1,res/drawable/exercise11
,בטן אלכסונים 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות באלכסון לרגל נגדית . שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה 25 חזרות, 2 סטים לכל צד.",קל,בטן,5,1,1,0,res/drawable/exercise12
,בטן אלכסונים 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות באלכסון לרגל נגדית . שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 30 חזרות, 3 סטים לכל צד.",בינוני,בטן,5,0,1,1,res/drawable/exercise13
,בטן אלכסונים 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות באלכסון לרגל נגדית . שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה. 40 חזרות, 4 סטים לכל צד.",קשה,בטן,10,1,0,1,res/drawable/exercise14
,בטן אלכסונים 1,"בשכיבה על הגב, רגליים מכופפות, ידיים משולבות מאחורי העורף. יש לנתק את פלג הגוף העליון מהמזרן עד 35 מעלות באלכסון לרגל נגדית . שמור על ראש ישר בהמשך לעמוד השידרה. הוצאת אויר בעליה 50 חזרות, 4 סטים לכל צד.",קשה מאוד,בטן,15,1,0,0,res/drawable/exercise15
,שכיבות סמיכה,"יש ליישר את המרפקים תוך דחיפת הגוף כלפי מעלה כאשר הרגליים מכופפות. ירידה איטית, ללא נעילת מרפקים, שמירה על גב ישר, בעת העלייה להוציא אוויר. 10 חזרות, 2 סטים.",קל מאוד,פלג גוף עליון,5,0,1,0,res/drawable/exercise16
,שכיבות סמיכה,"יש ליישר את המרפקים תוך דחיפת הגוף כלפי מעלה כאשר הרגליים מכופפות. ירידה איטית, ללא נעילת מרפקים, שמירה על גב ישר, בעת העלייה להוציא אוויר. 15 חזרות, 2 סטים.",קל,פלג גוף עליון,5,0,0,1,res/drawable/exercise17
,שכיבות סמיכה,"יש ליישר את המרפקים תוך דחיפת הגוף כלפי מעלה כאשר הרגליים מכופפות. ירידה איטית, ללא נעילת מרפקים, שמירה על גב ישר, בעת העלייה להוציא אוויר. 10 חזרות, 3 סטים.",בינוני,פלג גוף עליון,5,1,1,1,res/drawable/exercise18
,שכיבות סמיכה,"יש ליישר את המרפקים תוך דחיפת הגוף כלפי מעלה כאשר הרגליים מכופפות. ירידה איטית, ללא נעילת מרפקים, שמירה על גב ישר, בעת העלייה להוציא אוויר. 20 חזרות, 3 סטים.",קשה,פלג גוף עליון,10,1,1,0,res/drawable/exercise19
,שכיבות סמיכה,"יש ליישר את המרפקים תוך דחיפת הגוף כלפי מעלה כאשר הרגליים מכופפות. ירידה איטית, ללא נעילת מרפקים, שמירה על גב ישר, בעת העלייה להוציא אוויר 30 חזרות, 3 סטים.",קשה מאוד,פלג גוף עליון,10,0,1,1,res/drawable/exercise20
,סקווטים,"עמוד עם רגליים פתוחות ברוחב מעט גדול מרוחב הכתפיים, קח את אגן הירכיים אחורה, כופך את הברכיים עד שקצות הירכיים מקבילים לרצפה. וחזור לנקודת ההתחלה. 10 חזרות, 2 סטים.",קל מאוד,פלג גוף תחתון,5,1,0,1,res/drawable/exercise21
,סקווטים,"עמוד עם רגליים פתוחות ברוחב מעט גדול מרוחב הכתפיים, קח את אגן הירכיים אחורה, כופך את הברכיים עד שקצות הירכיים מקבילים לרצפה. וחזור לנקודת ההתחלה. 15 חזרות, 2 סטים.",קל,פלג גוף תחתון,5,1,0,0,res/drawable/exercise22
,סקווטים,"עמוד עם רגליים פתוחות ברוחב מעט גדול מרוחב הכתפיים, קח את אגן הירכיים אחורה, כופך את הברכיים עד שקצות הירכיים מקבילים לרצפה. וחזור לנקודת ההתחלה. 12 חזרות, 3 סטים.",בינוני,פלג גוף תחתון,10,0,1,0,res/drawable/exercise23
,סקווטים,"עמוד עם רגליים פתוחות ברוחב מעט גדול מרוחב הכתפיים, קח את אגן הירכיים אחורה, כופך את הברכיים עד שקצות הירכיים מקבילים לרצפה. וחזור לנקודת ההתחלה. 10 חזרות, 4 סטים.",קשה,פלג גוף תחתון,10,0,0,1,res/drawable/exercise24
,סקווטים,"עמוד עם רגליים פתוחות ברוחב מעט גדול מרוחב הכתפיים, קח את אגן הירכיים אחורה, כופך את הברכיים עד שקצות הירכיים מקבילים לרצפה. וחזור לנקודת ההתחלה. 15 חזרות, 5 סטים.",קשה מאוד,פלג גוף תחתון,15,1,1,1,res/drawable/exercise25
,לאנג'ים (מכרעים),"עמוד עם רגליים ישרות והידיים על המותניים. קח צעד קדימה גדול ומצא את שיווי המשקל שלך. כאשר מרכז הכובד מועבר על עקב הרגל הקדמית, כופף את שתי הברכיים והנמך את הברך האחורית לכיוון הרצפה. בסוף התנועה שתי הברכיים צריכות להיות כפופות ב-90 מעלות. 10 חזרות, 2 סטים",קל מאוד,פלג גוף תחתון,5,1,1,0,res/drawable/exercise26
,לאנג'ים (מכרעים),"עמוד עם רגליים ישרות והידיים על המותניים. קח צעד קדימה גדול ומצא את שיווי המשקל שלך. כאשר מרכז הכובד מועבר על עקב הרגל הקדמית, כופף את שתי הברכיים והנמך את הברך האחורית לכיוון הרצפה. בסוף התנועה שתי הברכיים צריכות להיות כפופות ב-90 מעלות. 15 חזרות, 2 סטים",קל,פלג גוף תחתון,5,0,1,1,res/drawable/exercise27
,לאנג'ים (מכרעים),"עמוד עם רגליים ישרות והידיים על המותניים. קח צעד קדימה גדול ומצא את שיווי המשקל שלך. כאשר מרכז הכובד מועבר על עקב הרגל הקדמית, כופף את שתי הברכיים והנמך את הברך האחורית לכיוון הרצפה. בסוף התנועה שתי הברכיים צריכות להיות כפופות ב-90 מעלות. 12 חזרות, 3 סטים",בינוני,פלג גוף תחתון,10,1,0,1,res/drawable/exercise28
,לאנג'ים (מכרעים),"עמוד עם רגליים ישרות והידיים על המותניים. קח צעד קדימה גדול ומצא את שיווי המשקל שלך. כאשר מרכז הכובד מועבר על עקב הרגל הקדמית, כופף את שתי הברכיים והנמך את הברך האחורית לכיוון הרצפה. בסוף התנועה שתי הברכיים צריכות להיות כפופות ב-90 מעלות. 12 חזרות, 4 סטים",קשה,פלג גוף תחתון,10,1,0,0,res/drawable/exercise29
,לאנג'ים (מכרעים),"עמוד עם רגליים ישרות והידיים על המותניים. קח צעד קדימה גדול ומצא את שיווי המשקל שלך. כאשר מרכז הכובד מועבר על עקב הרגל הקדמית, כופף את שתי הברכיים והנמך את הברך האחורית לכיוון הרצפה. בסוף התנועה שתי הברכיים צריכות להיות כפופות ב-90 מעלות. 15 חזרות, 5 סטים",קשה מאוד,פלג גוף תחתון,15,0,1,0,res/drawable/exercise30
,פשיטת ירך על מזרן,"התחל ממצב של עמידת שש, אסוף את הבטן פנימה והרם רגל לכיוון מעלה כאשר הברך מכופפת ב-90 מעלות עד שכף הרגל פונה לתקרה. 12 חזרות, 2 סטים",קל מאוד,פלג גוף תחתון,5,1,0,0,res/drawable/exercise36
,פשיטת ירך על מזרן,"התחל ממצב של עמידת שש, אסוף את הבטן פנימה והרם רגל לכיוון מעלה כאשר הברך מכופפת ב-90 מעלות עד שכף הרגל פונה לתקרה. 12 חזרות, 3 סטים",קל,פלג גוף תחתון,5,0,1,0,res/drawable/exercise37
,פשיטת ירך על מזרן,"התחל ממצב של עמידת שש, אסוף את הבטן פנימה והרם רגל לכיוון מעלה כאשר הברך מכופפת ב-90 מעלות עד שכף הרגל פונה לתקרה. 15 חזרות, 3 סטים",בינוני,פלג גוף תחתון,10,0,0,1,res/drawable/exercise38
,פשיטת ירך על מזרן,"התחל ממצב של עמידת שש, אסוף את הבטן פנימה והרם רגל לכיוון מעלה כאשר הברך מכופפת ב-90 מעלות עד שכף הרגל פונה לתקרה. 15 חזרות, 4 סטים",קשה,פלג גוף תחתון,15,1,1,1,res/drawable/exercise39
,פשיטת ירך על מזרן,"התחל ממצב של עמידת שש, אסוף את הבטן פנימה והרם רגל לכיוון מעלה כאשר הברך מכופפת ב-90 מעלות עד שכף הרגל פונה לתקרה. 20 חזרות, 5 סטים",קשה מאוד,פלג גוף תחתון,15,,,,
,קירוב שכמות סטטי,"בשכיבה על הבטן, ידיים מכופפות ב-90 מעלות, יש לנתק את בית החזה והרגליים מהקרקע ולהחזיק 10 שניות, 2 סטים",קל מאוד,פלג גוף עליון,1,0,0,1,res/drawable/exercise31
,קירוב שכמות סטטי,"בשכיבה על הבטן, ידיים מכופפות ב-90 מעלות, יש לנתק את בית החזה והרגליים מהקרקע ולהחזיק 20 שניות, 2 סטים",קל,פלג גוף עליון,1,1,1,1,res/drawable/exercise32
,קירוב שכמות סטטי,"בשכיבה על הבטן, ידיים מכופפות ב-90 מעלות, יש לנתק את בית החזה והרגליים מהקרקע ולהחזיק 20 שניות, 3 סטים",בינוני,פלג גוף עליון,5,1,1,0,res/drawable/exercise33
,קירוב שכמות סטטי,"בשכיבה על הבטן, ידיים מכופפות ב-90 מעלות, יש לנתק את בית החזה והרגליים מהקרקע ולהחזיק 30 שניות, 4 סטים",קשה,פלג גוף עליון,5,0,1,1,res/drawable/exercise34
,קירוב שכמות סטטי,"בשכיבה על הבטן, ידיים מכופפות ב-90 מעלות, יש לנתק את בית החזה והרגליים מהקרקע ולהחזיק 50 שניות, 5 סטים",קשה מאוד,פלג גוף עליון,10,1,0,1,res/drawable/exercise35
,תרגיל האופניים,"יש להציב את הידיים על הראש, להרים את אזור בית החזה והכתפיים, ברך שמאלית למרפק ימני ואז ברך ימין למרפק שמאל. 10 חזרות, 2 סטים",קל מאוד,בטן,5,,,,
,תרגיל האופניים,"יש להציב את הידיים על הראש, להרים את אזור בית החזה והכתפיים, ברך שמאלית למרפק ימני ואז ברך ימין למרפק שמאל. 15 חזרות, 2 סטים",קל,בטן,5,,,,
,תרגיל האופניים,"יש להציב את הידיים על הראש, להרים את אזור בית החזה והכתפיים, ברך שמאלית למרפק ימני ואז ברך ימין למרפק שמאל. 12 חזרות, 3 סטים",בינוני,בטן,10,,,,
,תרגיל האופניים,"יש להציב את הידיים על הראש, להרים את אזור בית החזה והכתפיים, ברך שמאלית למרפק ימני ואז ברך ימין למרפק שמאל. 12 חזרות, 4 סטים",קשה,בטן,10,,,,
,תרגיל האופניים,"יש להציב את הידיים על הראש, להרים את אזור בית החזה והכתפיים, ברך שמאלית למרפק ימני ואז ברך ימין למרפק שמאל. 15 חזרות, 5 סטים",קשה מאוד,בטן,15,,,,
,כפיפת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף, לישר אותם לקדימה (עד גובה כתפיים) ולהוריד למצב ההתחלתי. 10 חזרות, 2 סטים",קל מאוד,פלג גוף עליון,1,,,,
,כפיפת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף, לישר אותם לקדימה (עד גובה כתפיים) ולהוריד למצב ההתחלתי. 15 חזרות, 2 סטים",קל,פלג גוף עליון,5,,,,
,כפיפת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף, לישר אותם לקדימה (עד גובה כתפיים) ולהוריד למצב ההתחלתי. 15 חזרות, 3 סטים",בינוני,פלג גוף עליון,5,,,,
,כפיפת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף, לישר אותם לקדימה (עד גובה כתפיים) ולהוריד למצב ההתחלתי. 20 חזרות, 4 סטים",קשה,פלג גוף עליון,10,,,,
,כפיפת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף, לישר אותם לקדימה (עד גובה כתפיים) ולהוריד למצב ההתחלתי. 25 חזרות, 5 סטים",קשה מאוד,פלג גוף עליון,10,,,,
,הרחקת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף (עד גובה כתפיים), להרחיק אותם לצדדים ולהחזיר למצב ההתחלתי. 10 חזרות, 2 סטים",קל מאוד,פלג גוף עליון,1,,,,
,הרחקת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף (עד גובה כתפיים), להרחיק אותם לצדדים ולהחזיר למצב ההתחלתי. 15 חזרות, 2 סטים",קל,פלג גוף עליון,5,,,,
,הרחקת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף (עד גובה כתפיים), להרחיק אותם לצדדים ולהחזיר למצב ההתחלתי. 15 חזרות, 3 סטים",בינוני,פלג גוף עליון,5,,,,
,הרחקת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף (עד גובה כתפיים), להרחיק אותם לצדדים ולהחזיר למצב ההתחלתי. 20 חזרות, 4 סטים",קשה,פלג גוף עליון,10,,,,
,הרחקת כתפיים,"בעמידה יש להציב את הידיים לאורך הגוף (עד גובה כתפיים), להרחיק אותם לצדדים ולהחזיר למצב ההתחלתי. 25 חזרות, 5 סטים",קשה מאוד,פלג גוף עליון,10,,,,
,תרגיל חימום 1,"קפיצה במקום, יש להביא את הברכיים כמה שיותר גבוה עד 90 מעלות. דקה, 3 סטים.",קל מאוד,חימום,5,,,,
,תרגיל חימום 1,"קפיצה במקום, יש להביא את הברכיים כמה שיותר גבוה עד 90 מעלות. דקה, 3 סטים.",קל,חימום,5,,,,
,תרגיל חימום 1,"קפיצה במקום, יש להביא את הברכיים כמה שיותר גבוה עד 90 מעלות. דקה, 3 סטים.",בינוני,חימום,5,,,,
,תרגיל חימום 1,"קפיצה במקום, יש להביא את הברכיים כמה שיותר גבוה עד 90 מעלות. דקה, 3 סטים.",קשה,חימום,5,,,,
,תרגיל חימום 1,"קפיצה במקום, יש להביא את הברכיים כמה שיותר גבוה עד 90 מעלות. דקה, 3 סטים.",קשה מאוד,חימום,5,,,,
,תרגיל חימום 2,"קפיצה במקום, יש להרים עקבים לכיוון הישבן, דקה 3 סטים",קל מאוד,חימום,5,,,,
,תרגיל חימום 2,"קפיצה במקום, יש להרים עקבים לכיוון הישבן, דקה 3 סטים",קל,חימום,5,,,,
,תרגיל חימום 2,"קפיצה במקום, יש להרים עקבים לכיוון הישבן, דקה 3 סטים",בינוני,חימום,5,,,,
,תרגיל חימום 2,"קפיצה במקום, יש להרים עקבים לכיוון הישבן, דקה 3 סטים",קשה,חימום,5,,,,
,תרגיל חימום 2,"קפיצה במקום, יש להרים עקבים לכיוון הישבן, דקה 3 סטים",קשה מאוד,חימום,5,,,,
,תרגיל חימום 3,"ג'קים, קפיצה במקום, רגליים סגורות ידיים מונחות לצדי הגוף, יש לפתוח ולהניף ידיים ולחזור למצב ההתחלתי לסגור ולהוריד ידיים. דקה, 3 סטים",קל מאוד,חימום,5,,,,
,תרגיל חימום 3,"ג'קים, קפיצה במקום, רגליים סגורות ידיים מונחות לצדי הגוף, יש לפתוח ולהניף ידיים ולחזור למצב ההתחלתי לסגור ולהוריד ידיים. דקה, 3 סטים",קל,חימום,5,,,,
,תרגיל חימום 3,"ג'קים, קפיצה במקום, רגליים סגורות ידיים מונחות לצדי הגוף, יש לפתוח ולהניף ידיים ולחזור למצב ההתחלתי לסגור ולהוריד ידיים. דקה, 3 סטים",בינוני,חימום,5,,,,
,תרגיל חימום 3,"ג'קים, קפיצה במקום, רגליים סגורות ידיים מונחות לצדי הגוף, יש לפתוח ולהניף ידיים ולחזור למצב ההתחלתי לסגור ולהוריד ידיים. דקה, 3 סטים",קשה,חימום,5,,,,
,תרגיל חימום 3,"ג'קים, קפיצה במקום, רגליים סגורות ידיים מונחות לצדי הגוף, יש לפתוח ולהניף ידיים ולחזור למצב ההתחלתי לסגור ולהוריד ידיים. דקה, 3 סטים",קשה מאוד,חימום,5,,,,
,שחרור פלג גוף עיליון 1,"למתוח את הגוף בעמידה כאשר הידיים מונפות מעל הראש ועומדים על קצות האצבעות, 30 שניות, 30 סטים",קל מאוד,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 1,"למתוח את הגוף בעמידה כאשר הידיים מונפות מעל הראש ועומדים על קצות האצבעות, 30 שניות, 30 סטים",קל,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 1,"למתוח את הגוף בעמידה כאשר הידיים מונפות מעל הראש ועומדים על קצות האצבעות, 30 שניות, 30 סטים",בינוני,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 1,"למתוח את הגוף בעמידה כאשר הידיים מונפות מעל הראש ועומדים על קצות האצבעות, 30 שניות, 30 סטים",קשה,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 1,"למתוח את הגוף בעמידה כאשר הידיים מונפות מעל הראש ועומדים על קצות האצבעות, 30 שניות, 30 סטים",קשה מאוד,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 2,"בעמידה כאשר יד אחת אוחזת את המותן היד השנייה נמתחת מעבר לראש. 30 שניות, 3 סטים.",קל מאוד,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 2,"בעמידה כאשר יד אחת אוחזת את המותן היד השנייה נמתחת מעבר לראש. 30 שניות, 3 סטים.",קל,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 2,"בעמידה כאשר יד אחת אוחזת את המותן היד השנייה נמתחת מעבר לראש. 30 שניות, 3 סטים.",בינוני,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 2,"בעמידה כאשר יד אחת אוחזת את המותן היד השנייה נמתחת מעבר לראש. 30 שניות, 3 סטים.",קשה,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 2,"בעמידה כאשר יד אחת אוחזת את המותן היד השנייה נמתחת מעבר לראש. 30 שניות, 3 סטים.",קשה מאוד,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 3,"בעמידה יש לשלב את הידיים מאחורי הגב ולמתוח אותם. 30 שניות, 3 סטים",קל מאוד,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 3,"בעמידה יש לשלב את הידיים מאחורי הגב ולמתוח אותם. 30 שניות, 3 סטים",קל,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 3,"בעמידה יש לשלב את הידיים מאחורי הגב ולמתוח אותם. 30 שניות, 3 סטים",בינוני,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 3,"בעמידה יש לשלב את הידיים מאחורי הגב ולמתוח אותם. 30 שניות, 3 סטים",קשה,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף עיליון 3,"בעמידה יש לשלב את הידיים מאחורי הגב ולמתוח אותם. 30 שניות, 3 סטים",קשה מאוד,שחרור פלג גוף עליון,5,,,,
,שחרור פלג גוף תחתון 1,"בעמידה מכופפים רגל אחת, מצמידים את העקב לישבן. 30 שניות, 3 סטים",קל מאוד,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 1,"בעמידה מכופפים רגל אחת, מצמידים את העקב לישבן. 30 שניות, 3 סטים",קל,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 1,"בעמידה מכופפים רגל אחת, מצמידים את העקב לישבן. 30 שניות, 3 סטים",בינוני,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 1,"בעמידה מכופפים רגל אחת, מצמידים את העקב לישבן. 30 שניות, 3 סטים",קשה,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 1,"בעמידה מכופפים רגל אחת, מצמידים את העקב לישבן. 30 שניות, 3 סטים",קשה מאוד,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 2,"בישיבה כאשר הרגליים ישרות ובטן מכונסת, יש להתכופף לכיוון הרגליים באיטיות. 30 שניות, 3 סטים",קל מאוד,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 2,"בישיבה כאשר הרגליים ישרות ובטן מכונסת, יש להתכופף לכיוון הרגליים באיטיות. 30 שניות, 3 סטים",קל,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 2,"בישיבה כאשר הרגליים ישרות ובטן מכונסת, יש להתכופף לכיוון הרגליים באיטיות. 30 שניות, 3 סטים",בינוני,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 2,"בישיבה כאשר הרגליים ישרות ובטן מכונסת, יש להתכופף לכיוון הרגליים באיטיות. 30 שניות, 3 סטים",קשה,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 2,"בישיבה כאשר הרגליים ישרות ובטן מכונסת, יש להתכופף לכיוון הרגליים באיטיות. 30 שניות, 3 סטים",קשה מאוד,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 3,"בישיבה כאשר הרגליים פסוקות ובטן מכונסת יש להתכופף לרגל ימין ואז לרגל שמאל, 30 שניות כל רגל, 3 סטים",קל מאוד,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 3,"בישיבה כאשר הרגליים פסוקות ובטן מכונסת יש להתכופף לרגל ימין ואז לרגל שמאל, 30 שניות כל רגל, 3 סטים",קל,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 3,"בישיבה כאשר הרגליים פסוקות ובטן מכונסת יש להתכופף לרגל ימין ואז לרגל שמאל, 30 שניות כל רגל, 3 סטים",בינוני,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 3,"בישיבה כאשר הרגליים פסוקות ובטן מכונסת יש להתכופף לרגל ימין ואז לרגל שמאל, 30 שניות כל רגל, 3 סטים",קשה,שחרור פלג גוף תחתון,5,,,,
,שחרור פלג גוף תחתון 3,"בישיבה כאשר הרגליים פסוקות ובטן מכונסת יש להתכופף לרגל ימין ואז לרגל שמאל, 30 שניות כל רגל, 3 סטים",קשה מאוד,שחרור פלג גוף תחתון,5,,,,
